Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.9676858674396168,0.8626172780990601,62.142857142857146,72.0
2,0.7816344039006666,0.6864218235015869,74.28571428571429,76.66666666666667
3,0.6305237412452698,0.5541133880615234,77.28571428571429,81.33333333333333
4,0.5725825957276605,0.46417070627212526,77.57142857142857,86.0
5,0.4928417585112832,0.397198349237442,80.57142857142857,87.33333333333333
6,0.4332670366222208,0.3553401350975037,83.28571428571429,88.0
7,0.40597606788982044,0.30745220482349395,83.71428571428571,90.66666666666667
8,0.3748411482030695,0.2841716408729553,84.42857142857143,88.66666666666667
9,0.3577527789907022,0.2525055021047592,87.0,91.33333333333333
10,0.3329678868705576,0.2473252534866333,88.14285714285714,91.33333333333333
11,0.3072756752371788,0.22769048810005188,89.42857142857143,92.0
12,0.30298868769949133,0.2129112184047699,88.42857142857143,91.33333333333333
13,0.27581176364963705,0.20335643589496613,89.28571428571429,92.0
14,0.2511503588069569,0.19022813439369202,91.0,93.33333333333333
15,0.2604466693645174,0.18401725739240646,90.0,92.66666666666667
16,0.2617380168627609,0.17824418395757674,89.85714285714286,92.0
17,0.2553697611120614,0.17393072098493575,89.0,94.0
18,0.24622536247426813,0.16354657262563704,89.14285714285714,94.0
19,0.22709992561828007,0.1572900339961052,91.57142857142857,95.33333333333333
20,0.232150024311109,0.15251109451055528,91.85714285714286,94.0
21,0.2176699529994618,0.15069263726472854,91.42857142857143,93.33333333333333
22,0.2055208378217437,0.15226694494485854,91.42857142857143,94.0
23,0.2118886590681293,0.14671378582715988,91.71428571428571,94.0
24,0.20810989053411919,0.1424804151058197,92.0,94.66666666666667
25,0.19774580814621665,0.13886991441249846,93.14285714285714,94.0
26,0.19675384597344833,0.1344125062227249,91.71428571428571,94.66666666666667
27,0.20232258093628017,0.13391836807131768,92.57142857142857,93.33333333333333
28,0.18086520616303792,0.12993153929710388,92.71428571428571,94.66666666666667
29,0.20900543305006894,0.1312801480293274,91.57142857142857,92.66666666666667
30,0.2077718312767419,0.12965481951832772,92.14285714285714,94.66666666666667
31,0.18399533290754666,0.12890920117497445,92.14285714285714,94.0
32,0.1739646043967117,0.12840986698865892,92.57142857142857,94.66666666666667
33,0.2009224837476557,0.12688692957162856,91.85714285714286,94.66666666666667
34,0.16527261449532074,0.11792421787977218,92.71428571428571,95.33333333333333
35,0.17658222940835086,0.11832078024744988,93.14285714285714,93.33333333333333
36,0.17975700748237697,0.11562866792082786,91.71428571428571,95.33333333333333
37,0.15613471140915697,0.1113958440721035,94.42857142857143,94.66666666666667
38,0.15372425961223515,0.1164483442902565,94.57142857142857,94.0
39,0.18061985075473785,0.11385285407304764,92.0,96.0
40,0.15343856015665966,0.10941724479198456,94.0,95.33333333333333
41,0.16857492364943027,0.10868005678057671,94.0,95.33333333333333
42,0.16753935983235185,0.10361261889338494,93.0,96.0
43,0.13631572777574713,0.09977387189865113,93.85714285714286,94.66666666666667
44,0.13986091205680912,0.09992491006851197,94.0,95.33333333333333
45,0.1325373255055059,0.09546809569001198,95.57142857142857,95.33333333333333
46,0.15112097713757644,0.09742314964532853,94.42857142857143,95.33333333333333
47,0.15581406432796607,0.10214908346533776,93.28571428571429,94.66666666666667
48,0.16954625804315915,0.09817581698298454,92.14285714285714,95.33333333333333
49,0.1388849231668494,0.10071371272206306,94.28571428571429,96.0
50,0.14228101260960102,0.10256067663431168,94.14285714285714,96.0
